Time,Jogador,Finalizacoes,PassesChaves,Desarmes,Interceptacoes,xG,MinutosJogados
Palmeiras,Carlos Miguel,0,0,0,0,0.0,90
Palmeiras,Bruno Fuchs,0,0,0,0,0.0,90
Palmeiras,Gustavo Gómez,1,1,2,0,0.1,90
Palmeiras,Joaquín Piquerez,1,1,0,0,0.0,90
Palmeiras,Khellven,0,2,2,0,0.0,77
Palmeiras,Murilo Cerqueira,1,1,0,0,0.1,77
Palmeiras,Allan,1,4,0,1,0.0,71
Palmeiras,Andreas Pereira,0,2,1,2,0.0,90
Palmeiras,Raphael Veiga,0,0,0,0,0.0,71
Palmeiras,Vitor Roque,3,0,1,0,0.8,90
Palmeiras,José Manuel López,2,0,0,1,0.2,90
Palmeiras (Reserva),Facundo Torres,0,0,0,0,0.0,19
Palmeiras (Reserva),Felipe Anderson,0,0,2,0,0.0,15
Palmeiras (Reserva),Ramón Sosa,0,1,0,0,0.0,13
Palmeiras (Reserva),Agustín Giay,0,1,1,0,0.0,13
Palmeiras (Reserva),Mauricio,0,0,0,0,0.0,4
Flamengo,Agustín Rossi,0,0,0,0,0.0,90
Flamengo,Guillermo Varela,0,2,4,2,0.0,90
Flamengo,Léo Pereira,1,1,2,1,0.0,90
Flamengo,Danilo,1,0,1,1,0.2,90
Flamengo,Alex Sandro,0,1,2,1,0.0,90
Flamengo,Erick Pulgar,1,1,1,1,0.0,90
Flamengo,Jorginho,1,2,3,0,0.1,90
Flamengo,Jorge Carrascal,2,1,1,1,0.1,90
Flamengo,Giorgian De Arrascaeta,2,4,0,0,0.2,79
Flamengo,Samuel Lino,1,4,2,3,0.0,67
Flamengo,Bruno Henrique,1,0,1,0,0.1,84
Flamengo (Reserva),Everton Soares,2,3,0,0,0.1,23
Flamengo (Reserva),Luiz Araújo,0,0,0,1,0.0,11
Flamengo (Reserva),Juninho,1,1,0,0,0.0,6
